type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	indignor	22	-0.338742568976926	0.18144592232806328
speech	frustra	38	-0.341859969598257	0.18126539853411333
speech	damnum	9	-0.344018949408677	0.18114037539022496
speech	barba	9	-0.344018949408677	0.18114037539022496
speech	rapto	9	-0.344018949408677	0.18114037539022496
speech	prior	86	-0.344514934863268	0.18111165364833715
speech	pugno	58	-0.34621822643664	0.18101301869749892
speech	punicus	8	-0.34848270004398	0.1808818865728373
speech	admitto	8	-0.34848270004398	0.1808818865728373
speech	populor	8	-0.34848270004398	0.1808818865728373
speech	amplector	29	-0.348717403986512	0.1808682952346336
speech	turnus	51	-0.349374630424577	0.18083023627959527
speech	libamen	3	-0.35157304244312	0.18070292967821175
speech	uenerabilis	3	-0.35157304244312	0.18070292967821175
speech	helenus	3	-0.35157304244312	0.18070292967821175
speech	custodia	3	-0.35157304244312	0.18070292967821175
speech	somnium	3	-0.35157304244312	0.18070292967821175
speech	egero	3	-0.35157304244312	0.18070292967821175
speech	deni	3	-0.35157304244312	0.18070292967821175
speech	fluito	3	-0.35157304244312	0.18070292967821175
speech	immineo	3	-0.35157304244312	0.18070292967821175
speech	obuerto	3	-0.35157304244312	0.18070292967821175
speech	adsiduo	3	-0.35157304244312	0.18070292967821175
speech	purpura	3	-0.35157304244312	0.18070292967821175
speech	nereis	3	-0.35157304244312	0.18070292967821175
speech	ogygius	3	-0.35157304244312	0.18070292967821175
speech	uestigo	3	-0.35157304244312	0.18070292967821175
speech	tiberinus	3	-0.35157304244312	0.18070292967821175
speech	colchis	3	-0.35157304244312	0.18070292967821175
speech	exsilio	3	-0.35157304244312	0.18070292967821175
speech	pyrenes	3	-0.35157304244312	0.18070292967821175
speech	aeolides	3	-0.35157304244312	0.18070292967821175
speech	munio	3	-0.35157304244312	0.18070292967821175
speech	bruma	3	-0.35157304244312	0.18070292967821175
speech	innuptus	3	-0.35157304244312	0.18070292967821175
speech	cado	102	-0.351753839339879	0.18069246001271094
speech	tantummodo	1	-0.354404679652869	0.18053895399645434
speech	adridens	1	-0.354404679652869	0.18053895399645434
speech	fractus	1	-0.354404679652869	0.18053895399645434
speech	honestus	1	-0.354404679652869	0.18053895399645434
speech	cauea	1	-0.354404679652869	0.18053895399645434
speech	palo	1	-0.354404679652869	0.18053895399645434
speech	relabor	1	-0.354404679652869	0.18053895399645434
speech	achaicus	1	-0.354404679652869	0.18053895399645434
speech	uolatilis	1	-0.354404679652869	0.18053895399645434
speech	helymus	1	-0.354404679652869	0.18053895399645434
speech	acoetes	1	-0.354404679652869	0.18053895399645434
speech	inlustro	1	-0.354404679652869	0.18053895399645434
speech	partio	1	-0.354404679652869	0.18053895399645434
speech	hippomenes	1	-0.354404679652869	0.18053895399645434
speech	instinctus	1	-0.354404679652869	0.18053895399645434
speech	instigo	1	-0.354404679652869	0.18053895399645434
speech	actaeus	1	-0.354404679652869	0.18053895399645434
speech	phalera	1	-0.354404679652869	0.18053895399645434
speech	intento	1	-0.354404679652869	0.18053895399645434
speech	depromo	1	-0.354404679652869	0.18053895399645434
speech	pertempto	1	-0.354404679652869	0.18053895399645434
speech	fraxineus	1	-0.354404679652869	0.18053895399645434
speech	festinus	1	-0.354404679652869	0.18053895399645434
speech	expallesco	1	-0.354404679652869	0.18053895399645434
speech	calais	1	-0.354404679652869	0.18053895399645434
speech	deriguo	1	-0.354404679652869	0.18053895399645434
speech	defio	1	-0.354404679652869	0.18053895399645434
speech	sidicinus	1	-0.354404679652869	0.18053895399645434
speech	tumesco	1	-0.354404679652869	0.18053895399645434
speech	inruo	1	-0.354404679652869	0.18053895399645434
speech	isthmus	1	-0.354404679652869	0.18053895399645434
speech	senones	1	-0.354404679652869	0.18053895399645434
speech	uocabulum	1	-0.354404679652869	0.18053895399645434
speech	hyperion	1	-0.354404679652869	0.18053895399645434
speech	torquatus	1	-0.354404679652869	0.18053895399645434
speech	amico	1	-0.354404679652869	0.18053895399645434
speech	immolo	1	-0.354404679652869	0.18053895399645434
speech	pecto	1	-0.354404679652869	0.18053895399645434
speech	inmurmuro	1	-0.354404679652869	0.18053895399645434
speech	specula	1	-0.354404679652869	0.18053895399645434
speech	pastoralis	1	-0.354404679652869	0.18053895399645434
speech	caspius	1	-0.354404679652869	0.18053895399645434
speech	uitulus	1	-0.354404679652869	0.18053895399645434
speech	olea	1	-0.354404679652869	0.18053895399645434
speech	orestes	1	-0.354404679652869	0.18053895399645434
speech	submoueo	1	-0.354404679652869	0.18053895399645434
speech	uenatrix	1	-0.354404679652869	0.18053895399645434
speech	gorgon	1	-0.354404679652869	0.18053895399645434
speech	athos	1	-0.354404679652869	0.18053895399645434
speech	reuiresco	1	-0.354404679652869	0.18053895399645434
speech	aegresco	1	-0.354404679652869	0.18053895399645434
speech	frustror	1	-0.354404679652869	0.18053895399645434
speech	rhenus	1	-0.354404679652869	0.18053895399645434
speech	indo	1	-0.354404679652869	0.18053895399645434
