idx	token	lemma	dialogism_score
6470	iacebant	iaceo	0.23811629517986854
6471	saxa	saxum	0.19958248961201464
6472	nec	neque	0.2829151588008186
6473	ullius	ullus	0.32560743850048535
6474	faciem	facies	0.23138084636554107
6475	seruantia	seruo	0.23061830647253614
6476	sacri	sacer	0.24809616224429415
6477	herceas	herceus	0.2355010944616474
6478	monstrator	monstro	0.20193233144330203
6479	ait	aio	0.13675413376546974
6480	non	non	0.41864799612008574
6481	respicis	respicio	0.2930376212519942
6482	aras	ara	0.24020155192911818
6483	o	o	0.5610938669544605
6484	sacer	sacer	0.22451348322592163
6485	et	et	0.15833624089312415
6486	magnus	magnus	0.2540565670884155
6487	uatum	uates	0.20480805885952474
6488	labor	labor	0.2508998334541126
6489	omnia	omnis	0.2729305233174609
6490	fato	fatum	0.3353984078074239
6491	eripis	eripio	0.33550687491782816
6492	et	et	0.15833624089312415
6493	populis	populus	0.244274571074286
6494	donas	dono	0.31307439636290435
6495	mortalibus	mortalis	0.2819154890701833
6496	aeuum	aeuum	0.27382583245785785
6497	inuidia	inuidia	0.23506598711824095
6498	sacrae	sacer	0.24475382973718207
6499	caesar	caesar	0.27595797234656105
6500	ne	ne	0.4182298357594052
6501	tangere	tango	0.3014246606109038
6502	famae	fama	0.2856978441868532
6503	nam	nam	0.33628882326213133
6504	siquid	siquis	0.35190089553189247
6505	latiis	latium	0.30623644416200135
6506	fas	fas	0.25247870913162385
6507	est	sum	0.4103991028490287
6508	promittere	promitto	0.3043552611502428
6509	musis	musa	0.2513986984016369
6510	quantum	quantum	0.35466394972641835
6511	zmyrnaei	zmyrnaeus	0.12248181192232309
6512	durabunt	duro	0.27041792301365
6513	uatis	uates	0.23035583133658372
6514	honores	honor	0.24945287571660468
6515	uenturi	uenio	0.2862632437288859
6516	me	ego	0.8083840689476842
6517	te	tu	0.7807333600401292
6518	que	que	0.2012336315258229
6519	legent	lego	0.20010676275931383
6520	pharsalia	pharsalis	0.2410151104661991
6521	nostra	noster	0.5083500721343409
6522	uiuet	uiuo	0.2736963598623876
6523	et	et	0.15833624089312415
6524	a	ab	0.19208305618423893
6525	nullo	nullus	0.2889557655975856
6526	tenebris	tenebra	0.217157025711474
6527	damnabimur	damno	0.2996784288502412
6528	aeuo	aeuum	0.2435057396610456
6529	ut	ut	0.27774099822990284
6530	ducis	dux	0.23496770228391017
6531	inpleuit	impleo	0.17706899959696223
6532	uisus	uisus	0.18115834801210368
6533	ueneranda	uenero	0.26370975861112333
6534	uetustas	uetustas	0.24511201746571867
6535	erexit	erigo	0.19037536067750815
6536	subitas	subeo	0.17976313174276926
6537	congestu	congero	0.20066276002661632
6538	caespitis	caespes	0.2511255832826232
6539	aras	ara	0.24020155192911818
6540	uota	uotum	0.2692803291937341
6541	que	que	0.2012336315258229
6542	turicremos	turicremos	0.12877606643885284
6543	non	non	0.41864799612008574
6544	inrita	irritus	0.24698443269006498
6545	fudit	fundo	0.16440724819917824
6546	in	in	0.1978304838181022
6547	ignes	ignis	0.23184270626931133
6548	di	deus	0.2873313718863206
6549	cinerum	cinis	0.2762849602544635
6550	phrygias	phrygius	0.24612366624093251
6551	colitis	colo	0.32701397672587706
6552	quicumque	quicumque	0.3376913823831891
6553	ruinas	ruina	0.24876301755497449
6554	aeneae	aeneus	0.22783027475022333
6555	que	que	0.2012336315258229
6556	mei	meus	0.503257185509224
6557	quos	qui	0.40175079268290337
6558	nunc	nunc	0.38025600229896883
6559	lauinia	lauinium	0.14800036973760974
6560	sedes	sedes	0.26886391446904345
6561	seruat	seruo	0.2470185393461795
6562	et	et	0.15833624089312415
6563	alba	albus	0.2336925041606785
6564	lares	lar	0.2431053706679868
6565	et	et	0.15833624089312415
6566	quorum	qui	0.4001224266061504
6567	lucet	luceo	0.210506665247631
6568	in	in	0.1978304838181022
6569	aris	ara	0.20988145913230594
6570	ignis	ignis	0.23187192093108364
6571	adhuc	adhuc	0.2728667279190589
6572	phrygius	phrygius	0.2732318034179033
6573	nulli	nullus	0.28743383140080914
6574	que	que	0.2012336315258229
6575	aspecta	aspecto	0.19618825310945637
6576	uirorum	uir	0.1929334824928407
6577	pallas	palla	0.22069973360479422
6578	in	in	0.1978304838181022
6579	abstruso	abstrudo	0.21867389379602659
6580	pignus	pignus	0.29980118183151866
6581	memorabile	memorabilis	0.2600438351863483
6582	templo	templum	0.2344031027531921
6583	gentis	gens	0.3132591521981537
6584	iuleae	iuleus	0.14935314033204666
6585	uestris	uester	0.3650465878935125
6586	clarissimus	clarissimus	0.23347045445188797
6587	aris	ara	0.2610015087509865
6588	dat	do	0.2984506114907506
6589	pia	pius	0.27055000489870584
6590	tura	tus	0.2366850464715904
6591	nepos	nepos	0.25888995312906304
6592	et	et	0.15833624089312415
6593	uos	uos	0.5528208651868813
6594	in	in	0.1978304838181022
6595	sede	sedes	0.24486729085053327
6596	priore	prior	0.21121724043615603
6597	rite	rite	0.27332169530111344
6598	uocat	uoco	0.25985121877343176
6599	date	do	0.40560657422350477
6600	felices	felix	0.3003750341140752
6601	in	in	0.1978304838181022
6602	cetera	ceterus	0.2974614549322791
6603	cursus	cursus	0.2057967264350421
6604	restituam	restituo	0.33004731386242736
6605	populos	populus	0.22347461425241774
6606	grata	gratus	0.22596697947959452
6607	uice	uicis	0.198120636726835
6608	moenia	moenia	0.26926245337391
6609	reddent	reddo	0.28229149347983407
6610	ausonidae	ausonides	0.23112086932383863
6611	phrygibus	phrygis	0.23165760436937116
6612	romana	romanus	0.21658958059190397
6613	que	que	0.2012336315258229
6614	pergama	pergamum	0.22900409706347497
6615	surgent	surgo	0.24589387674668833
6616	sic	sic	0.21619464466528485
6617	fatus	for	0.1770702458392504
6618	repetit	repeto	0.23116714416893552
6619	classes	classis	0.2458831730238092
6620	et	et	0.15833624089312415
6621	tota	totus	0.2540886458187521
6622	secundis	secundus	0.28578753470873575
6623	uela	uelum	0.2515768701548564
6624	dedit	do	0.28479481937201434
6625	coris	cos	0.24540270084758709
6626	auidus	auidus	0.1991969341558023
6627	que	que	0.2012336315258229
6628	urguente	urguens	0.24215943271608187
6629	procella	procella	0.21308879504597894
6630	iliacas	iliacus	0.26680487677592724
6631	pensare	penso	0.2873451897730246
6632	moras	mora	0.2545510373207066
6633	asiam	asia	0.2703609244324765
6634	que	que	0.2012336315258229
6635	potentem	possum	0.3174505196682352
6636	praeuehitur	praeuehor	0.21030294168661642
6637	pelago	pelagus	0.217059705175672
6638	que	que	0.2012336315258229
6639	rhodon	rhodon	0.13509953561715488
6640	spumante	spumo	0.19261902505352355
6641	relinquit	relinquo	0.2418819983917166
6642	septima	septimus	0.26580473637094315
6643	nox	nox	0.22033439056895182
6644	zephyro	zephyrus	0.19211638415261176
6645	numquam	numquam	0.31306704929845697
6646	laxante	laxo	0.18732160780584445
6647	rudentes	rudens	0.23167160908253343
6648	ostendit	ostendo	0.2225308107364588
6649	phariis	pharius	0.2506192400596735
6650	aegyptia	aegyptius	0.24400474690003462
6651	litora	litus	0.22302933788088103
6652	flammis	flamma	0.19121418882798896
6653	sed	sed	0.22991636605070076
6654	prius	prior	0.26232200123163707
6655	orta	orior	0.20822373774302977
6656	dies	dies	0.23289740198284148
6657	nocturnam	nocturnus	0.267283941958688
6658	lampada	lampas	0.2223346888778724
6659	texit	tego	0.20239591433517923
6660	quam	qui	0.4236487199326892
6661	tutas	tutus	0.2667483857855052
6662	intraret	intro	0.2627195286013418
6663	aquas	aqua	0.21681318724656554
6664	ibi	ibi	0.24891041772732736
6665	plena	plenus	0.2171428135637976
6666	tumultu	tumultus	0.17479988087895457
6667	litora	litus	0.22302933788088103
6668	et	et	0.15833624089312415
6669	incerto	incertus	0.19331442387872355
6670	turbatas	turbo	0.169119634215661
6671	murmure	murmur	0.19759621238865488
6672	uoces	uox	0.19696498843218385
6673	accipit	accipio	0.2536784825953948
6674	ac	ac	0.15864200912649323
6675	dubiis	dubius	0.2057817657854331
6676	ueritus	uereor	0.23603299772823216
6677	se	sui	0.20014995987546627
6678	credere	credo	0.3208709998393362
6679	regnis	regnum	0.28839712138005474
6680	abstinuit	abstineo	0.20582801359321878
6681	tellure	tellus	0.22651523425795878
6682	rates	ratis	0.2321298019006926
6683	sed	sed	0.22991636605070076
6684	dira	dirus	0.2675412408273887
6685	satelles	satelles	0.22816395529703792
6686	regis	rex	0.2293445531763072
6687	dona	donum	0.2603627305992323
6688	ferens	fero	0.2525642476754648
6689	medium	medius	0.1975361293665415
6690	prouectus	proueho	0.21317966727269733
6691	in	in	0.1978304838181022
6692	aequor	aequor	0.22867752046942802
6693	colla	collum	0.20756838190679355
6694	gerit	gero	0.2427758719700934
6695	magni	magnus	0.2587224555281922
6696	phario	pharius	0.22535447563821304
6697	uelamine	uelamen	0.20896398289159265
6698	tecta	tectum	0.219810407339124
6699	ac	ac	0.15864200912649323
6700	prius	prior	0.26232200123163707
6701	infanda	infandus	0.2750944746185665
6702	commendat	commendo	0.2346636552240982
6703	crimina	crimen	0.271344776358148
6704	uoce	uox	0.17296836481367364
6705	terrarum	terra	0.26311358720276085
6706	domitor	domitor	0.2100098824530026
6707	romanae	romanus	0.24528130731196318
6708	maxime	magis	0.2893968784392875
6709	gentis	gens	0.3132591521981537
6710	et	et	0.15833624089312415
6711	quod	qui	0.42729856515996234
6712	adhuc	adhuc	0.2728667279190589
6713	nescis	nescio	0.34561882279656453
6714	genero	genero	0.22375247310849244
6715	secure	secur	0.1717661744074685
6716	perempto	perimo	0.22644978841433225
6717	rex	rex	0.22467866473653048
6718	tibi	tu	0.8015333168619974
6719	pellaeus	pellaeus	0.23996435060607876
6720	belli	bellum	0.29200702120598265
6721	pelagi	pelagus	0.24575143189573123
